,recipe,ingredient,quantity,unit;;
0,Kruidnoten met choco-discodip,melkchocolade,100.0,g;;
1,Kruidnoten met choco-discodip,kruidnoten,100.0,g;;
2,Kruidnoten met choco-discodip,discodip,2.0,el;;
3,Kruidnoten in marsepein,blanke marsepein,150.0,g;;
4,Kruidnoten in marsepein,ongezouten roomboter,15.0,g;;
5,Kruidnoten in marsepein,kruidnoten,60.0,g;;
6,Kruidnoten in marsepein,nougatine in bakje,3.0,el;;
7,Kruidnoten met chocodips,pure chocolade,100.0,g;;
8,Kruidnoten met chocodips,ongezouten roomboter,1.0,el;;
9,Kruidnoten met chocodips,kruidnoten,100.0,g;;
10,Kruidnoten met chocodips,cacaopoeder,4.0,el;;
11,Kruidnoten met chocodips,hagelslag puur,30.0,g;;
12,Pepernotentaart met marsepeinstrik,ongezouten roomboter,350.0,g;;
13,Pepernotentaart met marsepeinstrik,witte basterdsuiker,100.0,g;;
14,Pepernotentaart met marsepeinstrik,vanille-extract,2.0,tl;;
15,Pepernotentaart met marsepeinstrik,zout,1.0,mespunt;;
16,Pepernotentaart met marsepeinstrik,middelgroot ei,3.0,;;
17,Pepernotentaart met marsepeinstrik,tarwebloem,200.0,g;;
18,Pepernotentaart met marsepeinstrik,bakpoeder,2.0,tl;;
19,Pepernotentaart met marsepeinstrik,poedersuiker,150.0,g;;
20,Pepernotentaart met marsepeinstrik,aardbeienjam,2.0,el;;
21,Pepernotentaart met marsepeinstrik,rode marsepein,100.0,g;;
22,Pepernotentaart met marsepeinstrik,kruidnoten,150.0,g;;
23,Perencake,middelgroot ei,3.0,;;
24,Perencake,Griekse yoghurt 10%,150.0,g;;
25,Perencake,fijne kristalsuiker,200.0,g;;
26,Perencake,vanille-extract,1.0,tl;;
27,Perencake,zonnebloemolie,100.0,ml;;
28,Perencake,tarwebloem,250.0,g;;
29,Perencake,bakpoeder,2.0,tl;;
30,Perencake,zout,1.0,mespunt;;
31,Perencake,Conference peer,3.0,;;
32,Massaman curry,koelverse sereh citroengras,3.0,stengel;;
33,Massaman curry,kokosmelk,800.0,ml;;
34,Massaman curry,water,150.0,ml;;
35,Massaman curry,laurierblad,3.0,;;
36,Massaman curry,steranijs,2.0,;;
37,Massaman curry,ribrunderlap,800.0,g;;
38,Massaman curry,kardemompeulen,5.0,;;
39,Massaman curry,korianderzaad,2.0,tl;;
40,Massaman curry,komijnzaad,2.0,tl;;
41,Massaman curry,kruidnagel,4.0,;;
42,Massaman curry,witte peperkorrels,0.5,tl;;
43,Massaman curry,chilivlokken,1.0,tl;;
44,Massaman curry,gemalen kaneel,1.0,tl;;
45,Massaman curry,verse laoswortel (galangal),15.0,g;;
46,Massaman curry,sjalot,75.0,g;;
47,Massaman curry,knoflook,5.0,teen;;
48,Massaman curry,rode peper,1.0,;;
49,Massaman curry,zout,1.0,tl;;
50,Massaman curry,garnalenpasta in potje,0.5,tl;;
51,Massaman curry,water,2.0,el;;
52,Massaman curry,vastkokende aardappel,200.0,g;;
53,Massaman curry,zoete aardappel,200.0,g;;
54,Massaman curry,zoete ui,1.0,;;
55,Massaman curry,tamarindepasta,1.0,el;;
56,Massaman curry,vissaus,1.0,el;;
57,Massaman curry,kokosbloesemsuiker,2.0,el;;
58,Massaman curry,ongezouten pinda's,50.0,g;;
71,Ajam pangang,limoen,2.0,;;
72,Ajam pangang,scharrel kippenpoten naturel,4.0,;;
73,Ajam pangang,zout,1.0,tl;;
74,Ajam pangang,sjalot,2.0,;;
75,Ajam pangang,knoflook,4.0,teen;;
76,Ajam pangang,rode peper,2.0,;;
77,Ajam pangang,witte peper,1.0,tl;;
78,Ajam pangang,arachideolie,2.0,el;;
79,Ajam pangang,ongezouten roomboter,30.0,g;;
80,Ajam pangang,ketjap manis,100.0,ml;;
81,Ajam pangang,water,500.0,ml;;
94,Appelkruimeltaart,middelgroot ei,1.0,;;
95,Appelkruimeltaart,citroen,0.5,;;
96,Appelkruimeltaart,tarwebloem,450.0,g;;
97,Appelkruimeltaart,bakpoeder,1.0,tl;;
98,Appelkruimeltaart,witte basterdsuiker,250.0,g;;
99,Appelkruimeltaart,zout,0.25,tl;;
100,Appelkruimeltaart,ongezouten roomboter,250.0,g;;
101,Appelkruimeltaart,vanille-extract,1.0,tl;;
102,Appelkruimeltaart,koek- en speculaaskruiden,2.0,tl;;
103,Appelkruimeltaart,water,1.0,tl;;
104,Appelkruimeltaart,jonagold appel,5.0,;;
105,Appelkruimeltaart,rozijnen,60.0,g;;
106,Appelkruimeltaart,custardpoeder,2.0,el;;
107,Appelkruimeltaart,poedersuiker,1.0,el;;
108,Bloemkoolschotel,knoflook,2.0,teen;;
109,Bloemkoolschotel,bloemkool,1.0,;;
110,Bloemkoolschotel,ongezouten roomboter,50.0,g;;
111,Bloemkoolschotel,fijngesneden prei,200.0,g;;
112,Bloemkoolschotel,rundergehakt,300.0,g;;
113,Bloemkoolschotel,tarwebloem,40.0,g;;
114,Bloemkoolschotel,volle melk,400.0,ml;;
115,Bloemkoolschotel,belegen kaas,200.0,g;;
116,Bloemkoolschotel,gemalen nootmuskaat,0.5,tl;;
117,Bloemkoolschotel,aardappelschijfjes,600.0,g;;
118,Tartelettes,bloem,200.0,g;;
119,Tartelettes,amandelmeel,30.0,g;;
120,Tartelettes,poedersuiker,80.0,g;;
121,Tartelettes,zout,1.0,snufje;;
122,Tartelettes,ongezouten roomboter,120.0,g;;
123,Tartelettes,middelgroot ei,1.0,;;
124,Pico de gallo,middelgrote ui,1.0,;;
125,Pico de gallo,romatomaat,750.0,g;;
126,Pico de gallo,jalapeñopeper,2.0,;;
127,Pico de gallo,verse koriander,10.0,g;;
128,Pico de gallo,limoen,1.0,;;
129,Pico de gallo,zeezout,0.5,tl;;
130,Pierogi,ongezouten roomboter,150.0,g;;
131,Pierogi,kraanwater,100.0,ml;;
132,Pierogi,patentbloem,250.0,g;;
133,Pierogi,zout,1.0,tl;;
134,Pierogi,groot ei,1.0,;;
135,Pierogi,vastkokende aardappel,400.0,g;;
136,Pierogi,cheddar,75.0,g;;
137,Pierogi,sour cream,125.0,g;;
138,Pierogi,verse platte peterselie,7.5,g;;
139,Sajoer boontjes ,verse sperziebonen,500.0,g;;
140,Sajoer boontjes ,sjalot,1.0,;;
141,Sajoer boontjes ,knoflook,4.0,teen;;
142,Sajoer boontjes ,verse laoswortel (galangal),15.0,g;;
143,Sajoer boontjes ,verse gember,15.0,g;;
144,Sajoer boontjes ,arachideolie,1.0,el;;
145,Sajoer boontjes ,gedroogde limoenblaadjes,4.0,;;
146,Sajoer boontjes ,laurierblaadje,2.0,;;
147,Sajoer boontjes ,sambal oelek,2.0,el;;
148,Sajoer boontjes ,Indonesische trassie,0.5,tl;;
149,Sajoer boontjes ,palmsuiker,1.0,el;;
150,Sajoer boontjes ,water,280.0,ml;;
151,Sajoer boontjes ,santen kokoscrème,2.0,el;;
